"scenario","year","1","2","3","4","5","6","7","8","9","10","11","12"
"MaxWater",2012,-3963.18719750245,-2330.81555508087,-3905,-2726.08267679896,-3138.16523602124,-4475,-11131.4813083118,-11593.034984813,-5602.95581425921,-5823.0138596185,-7025.95815047075,-5290.32258064516
"MaxWater",2013,-4363.70967741936,-4325,-3500,-1918.65723923908,-1818.43347058119,-4400,-6309.49355949823,-4079.71072592513,-5290.64216378901,-1825.02157024457,-1966.77474413514,-1880.56351210253
"MaxWater",2014,-564.591204148504,-3808.03571428571,-4325,-1489.38889850826,-1438.99034000288,-1459.38430783189,-1546.02673777552,-1435.95807114623,-2599.8139730007,-1880.05410045208,-1549.62943692055,-5290.32258064516
"MaxWater_noSMSCG",1995,-3645.16129032258,-4464.28571428571,-3820.21494631204,-4151.14748195645,-488.431250139681,-4487.49051053872,-9551.71355486469,-10714.9482128359,-10924.63687914,-10037.0941946375,-9010.46356179941,-5290.32258064516
"MaxWater_noSMSCG",1996,-4516.12903225806,-3897.83663892417,-4550,-4130,-3954.78906668063,-4505,-11175.4146567734,-11239.4024760189,-8645.45528595126,-9878.3437569243,-8618.77886192355,-2887.54470719496
"MaxWater_noSMSCG",1997,25304.028068325,1871.71321584505,-4060.98975467272,-3471.95227078835,-3000.66406898921,-3784.82895868507,-10750.6997918442,-11102.0143695415,-7079.59531289009,-5332.85299936076,-7806.80801873234,-5290.32258064516
"MaxWater_noSMSCG",1998,-4516.12903225806,4497.93334068702,-4512.47697636601,-2210.62888093158,-138.01317496878,-2150.54304066688,-8295.20882460534,-9396.29637403738,-9700.28509366877,-8994.38252828409,-8731.43238724561,-5290.32258064516
"MaxWater_noSMSCG",1999,-4516.12903225806,-4625,-4550,-3978.76171925173,-3851.80949966374,-4505,-10890.0068797978,-10316.8345278073,-10206.5378732612,-7871.76049940159,-6184.18223794546,-3455.21773258225
"MaxWater_noSMSCG",2000,-3645.16129032258,-3863.11400622256,-4025,-3995,-3863.56871810481,-4490,-10924.52315451,-11169.4492089105,-7443.58863573337,-6792.99395867383,-5719.64914620191,-3726.56185972782
"MaxWater_noSMSCG",2001,-4745,-3580.35714285714,-3905,-2075.80324453854,-3104.78015103538,-4400,-6038.33099366478,-4729.58516550551,-4947.58351530988,-3850.86029572755,-5095.05622424676,-5290.32258064516
"MaxWater_noSMSCG",2002,-3875.96774193548,-4030.35714285714,-3500,-2702.03501073076,-2724.693725557,-4400,-7968.5697821086,-6161.6270645402,-4951.09495960159,-4835.45915500026,-4786.91390463539,-5290.32258064516
"MaxWater_noSMSCG",2003,-3875.96774193548,-3741.07142857143,-3500,-2364.67123192658,-3278.61614004395,-4490,-10485.9668066993,-11573.4038791326,-9778.86473125264,-7086.4298061707,-5319.18794686164,-5290.32258064516
"MaxWater_noSMSCG",2004,-4343.38709677419,-4237.06896551724,-3575,-2577.83774030808,-2715.45839251725,-4475,-11212.1338224545,-11217.2499919605,-6326.06896308741,-6661.10362440205,-5501.69254577556,-5290.32258064516
"MaxWater_noSMSCG",2005,-4363.70967741936,-4030.35714285714,-3500,-3875,-3920.44857982322,-4850,-9202.41397544926,-10806.8424881273,-10039.3998704602,-9215.24803586605,-7933.34457431035,-5290.32258064516
"MaxWater_noSMSCG",2006,-5000,-4464.28571428571,-404.651167176297,1710.22104504015,4279.29153682038,-4257.34933734026,-8765.84116087138,-10753.182964385,-10505.2920421912,-9387.17689304901,-9369.19244254599,-5290.32258064516
"MaxWater_noSMSCG",2007,-5000,-4030.35714285714,-3500,-2343.7536904574,-2868.27645686263,-4400,-11205.598966501,-6688.63616469982,-7694.11387388498,-6410.24601811004,-4604.06374657586,-3401.24767634448
"MaxWater_noSMSCG",2008,-3126.93548387097,-3991.37931034483,-1440.2896374425,-2122.02435215872,-2057.07432714162,-2388.04167672964,-3666.51997961469,-2953.73139210835,-4258.06919626367,-3150.38048398665,-1131.26866313697,-3094.32720251522
"MaxWater_noSMSCG",2009,-120.000849125585,-3808.03571428571,-4325,-1489.86236782897,-3021.02879964628,-4850,-5029.81949811356,-5089.39426983259,-6727.60167594829,-5736.01185651244,-3649.46640820457,-3159.31048898705
"MaxWater_noSMSCG",2010,-3439.51612903226,-3982.14285714286,-3905,-3389.98053645819,-3482.87719162847,-4475,-11063.9090338009,-11093.9417684064,-9662.56584461653,-9548.37874571077,-9177.41701483973,-5290.32258064516
"MaxWater_noSMSCG",2011,-4516.12903225806,-4223.21428571429,2729.93841008434,-3975.83929434593,-4715.44067811476,-5000,-9712.75722262562,-10086.5502850849,-10091.4457835561,-8993.1517969833,-9310.42605405673,-6184.82104780448
"MaxWater_noSMSCG",2012,-3964.30113338292,-2345.16407600423,-3905,-2725.71522970246,-3138.3629486791,-4475,-11132.1681992057,-11593.1875149233,-5604.87206010925,-5825.15167688628,-5863.68948670345,-5290.32258064516
"MaxWater_noSMSCG",2013,-4363.70967741936,-4325,-3500,-1920.02785504142,-1818.66882703937,-4400,-5786.97436964651,-3977.80790848195,-5293.57290013283,-1793.15126862036,-1932.0196155304,-1921.65914661677
"MaxWater_noSMSCG",2014,-563.708694456443,-3808.03571428571,-4325,-1618.79725709194,-1439.12958830468,-1462.76904826161,-1549.31025865891,-1458.24468902745,-2635.70559324426,-1898.31941966866,-1342.11365719777,-5290.32258064516
"StatusQuo",1995,-3645.16129032258,-4464.28571428571,-3846.69442544643,-4160.35669644701,-488.77615156193,-4496.21952705619,-9555.48042522109,-10722.3819014376,-10926.8472928261,-6454.84030716007,-9930.95036014415,-5290.32258064516
"StatusQuo",1996,-4516.12903225806,-3952.58123234872,-4550,-4130,-3961.74432576289,-4505,-11177.1620012873,-11242.1994195268,-8302.09019573079,-7109.00103958776,-8620.77494635434,-2897.23760799382
"StatusQuo",1997,25295.672656313,1831.39523117338,-4064.3691529902,-3473.6860825619,-3004.01848643303,-3784.39561303886,-10801.131486308,-11103.712614186,-7429.56683056749,-4967.59091814388,-8708.40158737896,-5290.32258064516
"StatusQuo",1998,-4516.12903225806,4486.5116587149,-4362.17320723584,-2219.46837944372,-145.949237925543,-2157.61242755524,-8298.92181880163,-9398.76859706406,-9702.26205223644,-8996.13408538171,-8733.39830406532,-5290.32258064516
"StatusQuo",1999,-4516.12903225806,-4625,-4550,-3977.63607936597,-3850.28473398883,-4505,-10903.2669885676,-10085.809613321,-6952.71618223523,-5905.29865161917,-9349.34235242791,-4163.04389903419
"StatusQuo",2000,-3645.16129032258,-3865.93157293811,-4025,-3995,-3848.78520680068,-4490,-10701.881220532,-9157.55065784482,-4996.21521419091,-5755.15996913488,-7986.97915328194,-4039.13970519195
"StatusQuo",2001,-4745,-3580.35714285714,-3905,-2054.09904906239,-2969.79397840131,-3304.09398365461,-5957.79408462796,-4930.13297884852,-4429.90512773145,-3801.50344968337,-5101.58359596397,-5290.32258064516
"StatusQuo",2002,-3875.96774193548,-4030.35714285714,-3500,-2610.19759690229,-2720.85204462924,-4400,-7114.69431110808,-5113.9356373217,-4973.36248231351,-4276.14391662774,-4471.18652818185,-5290.32258064516
"StatusQuo",2003,-3875.96774193548,-3741.07142857143,-3500,-2362.94630132475,-3276.90776485553,-4490,-10458.960803602,-11579.6447663001,-9242.92564223497,-4597.16064621345,-7670.89009867425,-5290.32258064516
"StatusQuo",2004,-4343.38709677419,-4237.06896551724,-3575,-2573.57274687187,-2715.36812896987,-4475,-11218.5225745177,-11219.8112524385,-6220.39586852157,-6627.46108869918,-5489.05871244794,-5290.32258064516
"StatusQuo",2005,-4363.70967741936,-4030.35714285714,-3500,-3875,-3924.75771792701,-4850,-9214.11976170483,-10809.7373054637,-10006.0532344686,-9211.16352488662,-7939.85527383538,-5290.32258064516
"StatusQuo",2006,-5000,-4464.28571428571,-410.749901728471,1701.38673745449,4269.60757807968,-4262.23969982521,-8778.4291466606,-10755.7369244917,-10507.2700476665,-7278.19516021661,-9371.43709233974,-5290.32258064516
"StatusQuo",2007,-5000,-4030.35714285714,-3500,-2330.57301639211,-2865.85927619253,-4400,-6608.45466679572,-4819.34400183403,-5547.23828169981,-4022.01922241537,-2892.36370680685,-2798.89658510284
"StatusQuo",2008,-3126.93548387097,-3991.37931034483,-1939.01455389893,-2496.7859688448,-2523.48001579923,-2621.49002506345,-4865.90844408353,-3945.80771278525,-4259.04781176414,-3289.39746106609,-2569.81999422124,-1126.11072945782
"StatusQuo",2009,-4625,-3808.03571428571,-4325,-1497.45466793004,-3024.24197977865,-4850,-4444.97470904348,-3720.21001061717,-7017.32925795266,-5658.77151100587,-3645.08096415362,-3159.61508136048
"StatusQuo",2010,-3439.51612903226,-3982.14285714286,-3905,-3388.55393396673,-3480.35001110171,-4475,-11066.8698301721,-10881.936838233,-9217.49390537479,-9551.82617571716,-9182.23296610434,-5290.32258064516
"StatusQuo",2011,-4516.12903225806,-4223.21428571429,3079.37313995837,-3898.76155906141,-4656.17070316113,-5000,-9713.47313622999,-10087.8276619433,-10092.5887397192,-8683.34329015241,-9312.00216368448,-6173.05233112363
"StatusQuo",2012,-3877.15176228477,-2352.2501542272,-3905,-2721.10350281751,-3140.62041313475,-4475,-11135.5943750842,-11593.9009310764,-5630.52809428764,-5895.55108086746,-7179.48308211051,-5290.32258064516
"StatusQuo",2013,-4363.70967741936,-4325,-3500,-1917.5110586969,-1820.7702478453,-4400,-5669.76787597251,-3733.98588233782,-5300.9650727417,-1815.378416751,-1989.27129154554,-1913.04481313875
"StatusQuo",2014,-546.075244198538,-3808.03571428571,-4325,-1488.12791256982,-1439.91647602713,-1452.73775331588,-1540.28043419505,-1323.35894359402,-2594.83309534203,-1889.22372589064,-1755.26299979776,-5290.32258064516
"Summer_Even",1995,-3645.16129032258,-4464.28571428571,-3744.56677636518,-3640.60542945887,-486.786587898654,-4495.60904369693,-9555.1461090173,-10721.3540071547,-10926.6177815185,-10038.8870452102,-9401.81131969742,-5290.32258064516
"Summer_Even",1996,-4516.12903225806,-3944.68122123837,-4550,-4130,-3987.55685835962,-4505,-11176.9810970927,-11242.2175759428,-11202.554533393,-9880.04451276528,-8620.60384593686,-2895.81348618069
"Summer_Even",1997,26598.276597982,2713.93676162717,-4063.96562424334,-3474.6224651257,-2998.93332453828,-4365.87495357595,-10876.7266073752,-11105.1956673379,-7794.59834529696,-7960.25432013916,-7160.79916018406,-5290.32258064516
"Summer_Even",1998,-4516.12903225806,4487.94227722576,-4099.27282099497,-2220.02165495885,-144.053173674553,-2156.84081147427,-8298.51911345257,-9398.57588913888,-9702.1418241726,-8996.03129338851,-8733.28424675439,-5290.32258064516
"Summer_Even",1999,-4516.12903225806,-4625,-4550,-3977.70290833815,-3849.71193559765,-4505,-11163.3836204494,-10327.2343997225,-11125.6554807746,-8713.49807264523,-5322.91687176924,-3147.13141113666
