"Date","Shasta_storage","Oroville_storage","Folsom_storage","WY_type_SAC","RockSlough_chloride","JerseyPoint_EC","SWP_DeltaExport","CVP_DeltaExport","scenario","year","month"
1961-01-31,3573.68899498788,1205.35827303914,431.67737461485,4,189.67814575,1636.6123,3781.9779442766,1677.31431179849,"MaxWater_noSMSCG",1961,1
1961-02-28,3814.02403811571,1474.62502339637,491.848438684627,4,154.4781235,1203.9369,2150.06609438414,3222.14936897094,"MaxWater_noSMSCG",1961,2
1961-03-31,4318.11944161134,1706.0121031534,560.029462265017,4,85.7068369,475.35965,3424.41538011473,1825.99284538332,"MaxWater_noSMSCG",1961,3
1961-04-30,4338.27313186738,1848.73059597949,633.724115439104,4,28.318863,244.70831,1074.58810768387,2031.20696068705,"MaxWater_noSMSCG",1961,4
1961-05-31,4242.07370271491,1827.73514745838,639.061469244878,4,28.105371,264.00858,1103.82916516025,2044.60291929797,"MaxWater_noSMSCG",1961,5
1961-06-30,3691.0986922951,1591.90462585989,660.076784488243,4,31.5214,314.8573,1251.01385114722,2612.49451294482,"MaxWater_noSMSCG",1961,6
1961-07-31,3200,1162.54510210442,524.820990428627,4,29.95998,395.091,1616.4841641383,3001.45512352821,"MaxWater_noSMSCG",1961,7
1961-08-31,2860.34314349291,864.718681987271,427.916168160388,4,42.49610305,756.39734,1647.58444150899,2097.87927703037,"MaxWater_noSMSCG",1961,8
1961-09-30,2730.87777150429,858.516812309136,416.261595402075,4,81.09949555,1108.0741,578.508943669137,3721.73917689789,"MaxWater_noSMSCG",1961,9
1961-10-31,2494.84007429969,770.880717588213,390.652544533771,4,136.903285,1763.2739,673.995109885083,3729.58633822893,"MaxWater_noSMSCG",1961,10
1961-11-30,2492.16778886171,822.698655946203,393.959976385297,4,193.0507645,1801.5831,1230.7248031799,2910.42741319866,"MaxWater_noSMSCG",1961,11
1961-12-31,2946.30931951141,895.939547702746,443.668995033399,4,175.023631,1795.7179,6197.31154701174,800.876400785619,"MaxWater_noSMSCG",1961,12
